"date","AEON","ARDR","BAY","BLOCK","BTC","BTCD","BTS","BTX","BURST","CLOAK","CRW","CSC","DASH","DCR","DCT","DGB","DOGE","EMC2","ETC","ETH","FCT","FTC","GAME","GRS","LBC","LTC","MONA","NAV","NLG","NXS","NXT","POT","PPC","RDD","SC","SHIFT","SLS","STEEM","SYS","VIA","VTC","XCP","XMR","XRP","XVG","XZC","ZCL","ZEC"
"2017-01-01","1.0010046212577859","0.987487969201155","1.0106871860639093","0.841772151898734","1.033278664701364","0.9615384615384615","0.9662703227371998","1.0","0.9465374955148906","0.9580712788259957","1.3160305343511451","1.0","0.9937106918238994","0.9983666802776643","1.0","1.0","0.9847826086956522","0.8884120171673818","0.9655172413793103","1.0111801242236025","0.9198717948717948","0.9950996406403136","1.0189843379212151","0.9920886075949367","0.9276257722859665","1.0231481481481481","0.9355365157078743","0.9484536082474226","0.9024390243902438","1.0155844155844154","1.010166045408336","0.9518542615484711","1.0387931034482758","1.0","0.9200482121333871","0.9683832082055619","0.908","0.8776508972267536","0.9299349472112617","0.8945892907204934","0.9597315436241611","1.1199999999999999","0.9840464104423496","0.9746582706189525","1.0","1.0277496455337247","0.9718588002962231","1.0208333333333333"
"2017-01-02","1.1954813359528487","0.9790276453765491","1.031566963361623","0.784360625574977","1.021708993008117","0.9776536312849162","0.9901671583087515","1.0","1.0565862708719853","1.1992501339046597","0.6913701741105224","1.0","1.050632911392405","0.9529623698959168","1.0","1.0","0.9757174392935982","0.9801512287334594","1.0214285714285714","1.0233415233415233","1.0068027210884354","0.968991002570694","0.974475843208751","1.0562060889929743","0.9906890130353818","1.0271493212669685","0.9748186086214256","1.0599377270368449","0.9451026856240127","1.1619592420450484","0.9953035893995303","1.102341137123746","1.029045643153527","1.0","1.0","1.0282141712087205","1.1241646906660918","0.9387507580351728","0.9612751150521944","0.9172033118675252","1.0538922155688624","0.905","1.1879145173176124","0.994642294358651","1.0","0.8377700617283952","1.0417702635504724","1.0220408163265307"
"2017-01-03","1.1713823767178657","0.9932950191570882","0.9792694965449161","1.2156545832371277","1.0159775822230963","1.0337078651685394","1.0051319648093842","1.0","1.0","1.1354441512752858","0.8930919280094837","1.0","1.0516351118760758","0.9518296464750878","1.0","1.0","1.006787330316742","0.9506641366223909","1.034965034965035","1.1512605042016806","1.0332225913621262","0.9831891627223764","0.9507366482504603","0.9854439592430858","0.9722479185938946","0.9933920704845814","1.052132701421801","0.9925319200192725","0.9169066227889758","1.0330102967898245","1.0035389282103135","1.0185185185185184","1.0120967741935485","1.0","1.0","0.8435805626598465","1.0785053783732779","0.9936427209154481","0.98816091954023","1.4238236261928268","0.9331557922769641","1.0217391304347825","0.8941176470588235","1.0156844106463878","1.0","0.9555757026291931","0.974630021141649","0.9984025559105432"
"2017-01-04","1.0414572864321607","1.0298245614035089","1.0","1.0017286084701815","1.0988193167521534","0.9356435643564356","0.9623810577561407","1.0","0.946524064171123","0.8403242862178357","1.1080606193718427","1.0","1.2675941080196398","1.2458983988930619","1.0","1.0","0.9937078651685394","0.8971843778383288","1.1756756756756757","1.13451511991658","1.0584795321637428","1.03097144583774","0.8876156897311591","0.9240080699394755","1.0303030303030305","0.9800443458980045","0.9269474468878122","0.9847581179589133","1.1126990608411595","0.9970651013874067","0.9988245172124265","1.00106780565937","1.0996015936254981","1.0","1.0","0.9573998454916677","0.7006369426751592","1.010477299185099","0.9807346247485974","0.7562565720294426","0.9732467532467534","1.0193236714975846","1.2157894736842105","0.9998440180939011","1.0","1.1036269430051813","0.9091906119763105","1.0628"
"2017-01-05","0.950831024930748","1.0175953079178888","0.9374605180037903","1.0287128712871287","0.8713592446781339","0.9666666666666667","1.041963578780681","1.0","1.0","1.0346487006737246","1.2939169982944854","1.0","0.8799225306649452","0.9799708667152222","0.7131159969673997","1.0","0.9995654063450673","1.0345067967933077","0.9137931034482759","0.9374999999999999","1.0063291139240507","0.9434914228052473","1.1179487179487182","0.9507101086048454","1.0298939247830279","0.9411764705882354","1.1102907245039226","1.0679711637487128","1.0834035383319292","1.2152948402948405","1.0591795561533288","1.031843233312921","0.9021739130434782","1.0","1.2605448154657293","1.3089032940865195","0.7759520083463745","1.0363516192994051","0.993930385234733","1.090647941270348","1.0217457886676877","1.0543478260869565","0.8717532467532467","0.9790951638065524","1.0","1.0327795240233497","1.0166112956810631","0.9407226194956718"
"2017-01-06","1.0089430894308944","1.0533147393263247","1.0333542319749216","0.9145620634067706","0.8956991964421084","1.0104895104895106","0.9824660633484162","1.0","1.0376836278475623","0.9771547248182763","1.0068694798822375","1.0","0.822450476889215","1.1022609417133375","1.4017804154302669","1.0","1.0330434782608695","1.0556739811912226","0.949685534591195","0.9872549019607844","0.9929824561403509","1.1285572139303481","1.0028457598178713","1.0520117762512269","1.3133423884651552","0.9038461538461537","1.0649651972157774","1.0309472551130248","0.9444444444444444","1.244851904090268","0.9119047619047619","1.0921139827700466","0.9357429718875503","1.0","1.0","0.7099977431730986","1.3080675422138837","1.091814946619217","1.08501460971198","0.9986932375040837","0.9869477911646586","1.0404624277456649","0.8808193668528864","0.9913957934990439","1.0","1.0805629701528754","0.9887503800547278","0.9259851970394078"
"2017-01-07","1.0361736334405145","1.1188953193217586","0.9785869828211952","0.880037488284911","1.0030581384851494","1.0689655172413794","1.0077497129735935","1.0","1.0544078543669462","0.9888771186440678","0.9407191448007773","1.0","1.0454950936663694","1.2727443256424684","1.6666666666666667","1.0","0.5806970509383378","1.0105400284225485","0.9470198675496688","0.9712015888778549","0.9788732394366197","0.9843557743012832","1.0350877192982457","1.0157992565055762","0.9158730158730158","1.0159574468085106","1.0104257167680277","1.0052042674993493","1.090742438130156","1.0038400722837137","1.0682332463011315","0.9915305505142165","1.0085836909871244","1.0","1.1031807602792862","1.1563935984788465","0.9919931369745495","0.9766081871345028","0.9795448734339043","0.9925008151287903","0.99526707234618","1.0552486187845302","0.9112050739957717","1.0226615236258436","1.0","0.9355271994627267","1.0085836909871246","1.0099373514798013"
"2017-01-08","0.9846860643185299","0.9928379588182632","1.021956574774335","0.9590174701169053","1.0134890366420286","1.085987261146497","0.9924114671163575","1.0","0.9655502392344497","0.9048625792811839","0.9201834862385322","1.0","1.0503412969283277","1.2172774869109948","0.6748251748251749","1.0","1.023041474654378","0.9791859389454209","1.006993006993007","1.0501022494887526","1.0354609929078014","1.0","0.9875943905070119","0.9756317689530685","0.9991445680068434","1.0235602094240839","0.9872773536895674","1.0153256704980844","0.9597844112769487","1.0","0.9776763891152028","1.0969295605057194","1.0","1.5","1.1873048907388137","1.0133856138453219","0.9055745164960182","1.0045961917268549","1.0731487443657437","1.1598055105348462","1.0003351206434317","1.0984455958549224","1.0440835266821347","0.9823982398239823","1.0","0.9570349386213409","1.0806838632273545","0.9657754010695186"
"2017-01-09","1.0046728971962617","1.0848375451263539","0.989244741873805","1.2339550191991224","0.9988011455720089","1.1264705882352941","1.0484831301389281","1.0","1.0357213732883506","1.0052631578947369","0.9490905057675245","1.0","0.9845653939886271","0.9532296650717704","1.037037037037037","1.0","0.9888888888888888","1.0319224402932134","0.9652777777777778","0.9931840311587147","0.9931506849315068","0.9761862762391955","0.977024070021882","1.0333333333333334","0.9982847341337907","1.0869565217391304","1.0245161290322582","0.9989924433249371","0.9645328719723183","1.0180040008890865","0.9798333333333332","0.9065934065934066","0.9787234042553192","1.0","0.9736765136004679","0.9795618487843976","0.8861635220125786","0.9489528795811518","1.0919139733269254","0.9356463346390598","0.9624413145539906","1.099056603773585","1.0","0.9880019196928492","1.0","1.0698938009385033","0.9880489160644802","1.007530454042082"
"2017-01-10","0.9475713184271395","0.9437086092715232","1.054326923076923","0.8337019018133568","1.005101246971482","1.0077922077922077","1.0242130750605327","1.0","1.0","1.0538194444444444","0.9747703755377284","1.0","1.0033003300330035","0.8684144818976279","1.0","1.0","0.9928122192273137","0.9794801641586868","1.0287769784172662","1.0343137254901962","0.9965635738831614","1.0618482560230131","1.0668523676880224","0.95985727029438","0.9529914529914529","1.051764705882353","0.9774436090225564","1.0175614651279479","0.9968763944667559","1.1199217901368672","1.0073141690763736","0.9409282700421941","1.0869565217391304","0.6667895318835239","0.9459055588762701","1.030660697327364","1.068502824858757","1.0198902606310012","0.9663893146485658","1.1076740035693042","1.0748700173310224","0.888888888888889","0.9888888888888888","1.1034650259067358","1.0","1.1715269804822044","1.0377833753148615","0.9958232578588699"
"2017-01-11","0.9484536082474226","0.9730411954765751","1.0","1.1055284056200367","0.8684830323871866","1.0178041543026706","1.0498941638947685","1.0","1.017343578485181","1.0821744627054362","0.9870896854827633","1.0","0.9161184210526316","1.1411784177424695","1.0","1.0","1.0180995475113122","0.9788260519967836","0.8951048951048952","0.9317535545023696","0.9960317460317459","0.9617859231819068","0.9482862297053518","0.9579544238793195","1.1358942585708385","0.8590604026845637","1.2298228346456692","1.0706783990916833","1.072680412371134","1.1438463256645075","0.9088145896656534","1.0007374631268438","0.992","1.4996817313812858","1.0","1.3404061836920278","1.960426179604262","1.039504260263362","1.0050873989042526","0.9718614718614719","0.999628666914222","1.0607734806629834","0.8913857677902622","0.9600880410858401","1.0","1.5082374181900249","1.217080745341615","0.8838852097130243"
"2017-01-12","1.2042186001917543","1.03420523138833","1.0103079664036652","0.9665193518146511","1.0314222782424916","1.0056497175141244","1.0812622172577493","1.0","1.0","1.0503963759909398","1.0960474841494672","1.0","1.09245960502693","1.1459505061867266","1.0","1.0","0.9177777777777778","0.9784974780992833","0.96875","0.9979654120040692","1.0888030888030888","1.070178887359937","1.018438844499078","0.9824580400649703","0.9462081128747796","1.0260416666666667","0.9472459270752521","0.9609254498714653","1.018164881229623","0.9808784551306324","1.0432924563359347","0.9935714285714285","1.028225806451613","1.0","0.9714285714285715","1.1028283271212453","0.9145652992096349","1.0101156069364163","0.9796149490373727","1.010795805058606","1.0363701836514223","0.9949494949494949","1.0361344537815125","0.9718783432676142","1.0","1.1179457420571592","1.2827808015833744","1.0739260739260739"
"2017-01-13","1.013302034428795","1.0076408787010507","1.2656192007917852","1.122346216657594","1.0181703719248003","0.9476584022038568","0.9518133400963732","1.0","1.1356350184956843","0.8560084700899947","1.0079777589749785","1.0","1.0147904683648314","1.373825018076645","0.6435697583787997","1.0","1.0476190476190477","1.065947242206235","0.9838709677419355","0.9969418960244647","0.9581881533101045","1.0104636478441278","0.9928909952606635","1.0714440355055208","1.1575091575091576","0.9796954314720812","1.0052292839903458","0.9910667367314766","1.0080898876404494","1.3916587677725119","0.9934105075690115","1.021186440677966","0.9647058823529412","1.0","1.0588445078459345","0.9666015625","1.005658852061439","0.9571629213483146","0.953071779992431","0.9457434052757794","0.9918088737201365","1.01","0.902676399026764","1.048749803428212","1.0","1.414733622227887","1.1254025383595376","1.0009302325581395"
"2017-01-14","0.8982128982128981","1.0190839694656488","1.0167322834645671","0.8702867602196461","0.9936956706230374","1.064516129032258","1.0351300616787342","1.0","1.014748725418791","1.0205479452054795","1.0019757964929612","1.0","0.9919028340080972","0.912280701754386","1.0","1.0","0.9892262487757101","1.0722012578616351","1.0","1.0","1.021978021978022","1.02659478885894","1.0204204204204204","1.0329402196014639","1.8957006369426752","1.0077720207253886","1.008457511075312","1.023212379935966","0.9865410497981156","1.0335846470185057","0.9697024022947293","1.2150313152400833","1.0040650406504066","0.6665311102074014","1.055574381565571","1.129524196827979","0.7660262891809909","1.011070110701107","1.0130527437400108","1.0022328548644337","1.1166897506925209","1.0","1.0485175202156334","1.01889338731444","0.9994212962962962","0.954954954954955","1.499322493224932","1.045074349442379"
"2017-01-15","0.9507772020725389","1.2598130841121498","0.9441545893719807","1.2122865938986847","1.0018788965752838","0.9532967032967034","0.9935367114788004","1.0","1.0587392550143264","1.0","1.0079950799507993","1.0","1.0008163265306123","0.9467307692307693","1.058880778588808","1.0","1.0148514851485149","1.1154566744730678","0.9836065573770492","1.0102249488752557","1.003584229390681","1.0716282320055905","1.00117508813161","1.6453831041257367","1.171069182389937","0.9897172236503856","1.0031885213232363","1.0541384695471108","1.0181570585565138","0.9908657664813344","1.1166574228138288","1.032590051457976","1.0364372469635628","1.500609013398295","1.1317307692307692","0.936208445642408","1.4300395256916996","1.0174927113702625","1.0830708661417323","0.9949174078780177","1.062209842154132","1.0","0.9383033419023136","1.0022075055187638","1.0005790387955995","0.9156603773584905","0.8980719359567031","0.9828812805691419"
"2017-01-16","1.0441839495040577","0.9234167893961709","0.9916708989334689","0.9343492208982584","1.0075136695203186","1.0457142857142858","1.0020661157024795","1.0","0.9305019305019304","1.0","0.9849824391425456","1.0","1.0440456769983688","0.9557459677419355","1.4675028506271381","1.0","0.9564056939501779","1.085755965405856","0.9916666666666667","0.9706477732793521","1.0531914893617023","0.9705501618122978","0.9801980198019803","0.9212085308056871","0.8489694385216774","0.9922077922077921","0.9783123028391166","0.9870098039215686","0.9185480301018151","1.0763824426468638","0.9677152317880795","0.9824079164376031","1.1210937499999998","0.6668009669621273","1.0","0.8848571428571429","0.8478419897585956","1.2759601706970127","1.0149128081779917","0.9670364500792392","0.9835164835164835","1.0149253731343284","0.9735159817351599","0.9955947136563876","1.0","0.9974435013805093","0.9278504672897196","0.9821307396516625"
